ChannelTitle,VideoTitle,Description,PublishedAt,CategoryId,ViewCount,LikeCount,CommentCount
tvN D ENT,[#유퀴즈온더블럭] 유재석 X 조세호도 빠져들게 만든 마성의 배우💛 구교환의 구며들 수밖에 없는 모먼트 | #Diggle #갓구운클립,"#유퀴즈온더블럭 #Diggle #디글 

Let's giggle, :Diggle!
구독하기 ☞ https://www.youtube.com/c/tvNDENT",2021-12-18T13:22:00Z,24,1632983,21536,895
스튜디오 와플 - STUDIO WAFFLE,[ENG] 제깟 게 뭐라고 전화 200통 넘게 쌩까다가 드디어 나왔습니다... 본방상수 정상수 편ㅣ터키즈온더블럭 EP.27,"정말 모시기 힘들었던 초초초셀럽💥
핑크빛 상수 등장~ 등장~🌸

00:00 상수~ 상수~🤗
02:20 괴릴라데이트때.. 비하인드..^^
05:05 정상수식 후원리액션 제로투ㅋㅋㅋㅋ
09:08 그 분(?) 등장..!
12:43 터~퀴즈~?

초저예산 길바닥 토크쇼《터키즈 온 더 블럭》
매주 금요일 오후 6시 스튜디오 와플 공개!
👉 https://www.youtube.com/c/스튜디오와플STUDIOWAFFLE

터키즈 온 더 블럭 공식 인스타그램
👉 https://instagram.com/turkidsontheblock

🧇구독 & 좋아요 & 알림설정 필수🧇

#터키즈온더블럭 #터키즈 #정상수 #이용진 #명사수",2021-12-17T09:00:44Z,24,2112607,46991,4532
놀면 뭐하니?,"[놀면 뭐하니?] 도토리 황태자! 성시경 명곡 메들리 (거리에서,내게 오는 길,너에게, 좋을텐데,미소천사,넌 감동이었어,희재,두사람,너의 모든 순간,태양계,우린 제법 잘 어울려요)","[Timeline]
거리에서 00:00
내게 오는 길 02:20
너에게 04:14
좋을텐데 05:17
우린 제법 잘 어울려요 06:20
미소천사 07:13
넌 감동이었어 08:06
희재 09:12
두 사람 11:10
너의 모든 순간 12:57
태양계 15:13

★★★More 'Hangout with Yoo' clips are available★★★

iMBC
http://www.imbc.com/broad/tv/ent/hangoutwithyoo/vod/

WAVVE
https://www.wavve.com/player/vod?programid=M_1004711100000100000&page=1

#놀면뭐하니 #성시경 #도토리페스티벌",2021-12-18T10:54:30Z,24,1039887,31899,4030
내일은 국민가수 공식계정,[클린버전] 결승전 1Rㅣ박창근 - 다시 사랑한다면 #내일은국민가수 11화 TV CHOSUN 211216 방송,"오직 [ 내일은 국민가수 ] 공식계정에서만 볼 수 있는 자막 없는 클린버전💕

[ 내일은 국민가수 ] 의 결승전 1R '레전드 미션' 음원은 멜론 외 각종 음원 사이트에서 들으실 수 있습니다!

[ 내일은 국민가수 Official ]

HOMEPAGE ▶️ http://broadcast.tvchosun.com/broadcast/program/2/C202100009/bbs/9428/C202100009_15/list.cstv
YOUTUBE ▶️ https://www.youtube.com/channel/UC33yEDM8q3N8BeMpZMdP66Q
TWITTER ▶️ https://twitter.com/kookminsinger
FACEBOOK ▶️ https://www.facebook.com/kookminsinger
INSTAGRAM ▶️ https://www.instagram.com/kookminsinger

#TV조선 #국민가수 #결승전
#국민가수탄생프로젝트
#국민의_가슴에_올하트의_감동을",2021-12-17T12:11:47Z,10,827211,17978,3698
엄마의 요리백과,"당면이 있다면 이렇게 만들어보세요! 새로운 요리, 놀라운 맛입니다👍 '이것'과 당면의 환상의 조화에 두 접시 뚝딱 가능합니다🤗","#당면 #볶음당면 #당면요리

안녕하세요 ~^^
오늘은 탱글탱글한 당면과 아삭아삭한 숙주의 만남으로 당면 한 봉지가 순삭되는 정말 맛있는 볶음당면을 만들어보았습니다😊
이제 잡채는 그만, 볶음당면으로 입맛 확실하게 사로잡아보세요😊

--

자른당면 100g
특란 2알
새우 10마리
숙주 150g
부추 30g
양파 70g
대파 30g
홍청양고추 1개
다진마늘 1스푼 분량
미림 1/2스푼 + 1/2스푼

진간장 2스푼
굴소스 1스푼
고운고춧가루 1티스푼
설탕 1스푼

 * 1스푼 15ml, 1티스푼 5ml 계량스푼을 사용하였습니다.
( 일반 밥숟가락의 경우 1스푼이 9ml ~ 12ml 입니다. )",2021-12-19T10:04:44Z,22,269404,4620,48
김대석 셰프TV,집에서 쉽게 끓이는 동지팥죽 이 과정만 알면 100%성공!,"김대석 셰프의 30년 노하우를 모두 공개합니다.
오늘은 동지팥죽 레시피를 알려 드리겠습니다.

 [재료]
1. 팥 1컵 가득(160mL)
2. 팥 삶을 때 물 양 4컵
3. 찹쌀 1컵 반
4. 멥쌀 1/2컵
5. 믹서기 헹굼 물 1컵(160mL)
- 팥죽 끓일 때 중간쯤 사용 - 
6. 익반죽 뜨거운 물 1/2컵
7. 익반죽 소금 2꼬집
8. 팥죽 끓이기전 미지근한물 2컵
9. 팥죽 끓일 때 소금 1/3스푼
10. 설탕은 취향대로 넣기 - 드실 때 넣으세요
#동지팥죽 #팥죽 #김대석셰프",2021-12-17T23:00:15Z,26,310823,11445,292
EBSDocumentary (EBS 다큐),"최악의 조건에 던진 도전장. 진흙밭 위에 1,350톤 매머드급 초대형 증류탑을 세워라! 현대 공학 기술이 집약된 플랜트의 새 역사를 쓴 우리 기업의 놀라운 기술력 | 다큐프라임","※ 이 영상은 2011년 2월 17일에 방송된 ＜다큐프라임 - 원더풀 사이언스 124m 초대형 증류탑을 세워라＞를 일부 재구성한 영상입니다.

인도 서부 구자라트 주 남쪽에 위치한 다헤즈 경제특구.
인도에서 가장 큰 에틸렌 플랜트로, 연간 110만 톤의 에틸렌과 34만 톤의 프로필렌을 생산하게 될 인도 최대 규모의 프로젝트이다.
만들기도, 세우기도 어려운 초대형 프로젝트에 우리 기업이 과감하게 도전장을 던졌다.

124m의 초고층의 높이의 증류탑을 한 치의 오차 없이 수직으로 세워야 하는 고난도의 공사.

3D 설계부터 시뮬레이션을 거쳐 준비 작업을 한 기간만 약 2년이 걸렸다.
인도 현장에 누워있는 증류탑 (C3-SPLITTER)을 세우기 위해 전 세계 6개뿐인 1,600톤급 골리앗 크레인과 아시아 최고 높이인 137m의 타워 마스터가 동원되었다.
이 공정이 실패로 끝나면 공기가 지연되는 것은 물론, 대형 사고로도 이어질 수 있다. 
과연 국내 기술진들은 이 위기를 극복할 수 있을까?

✔ 프로그램명 : 다큐프라임 - 원더풀 사이언스 124m 초대형 증류탑을 세워라
✔ 방송 일자 : 2011.02.17

#다큐프라임 #공학기술 #산업현장 #C3-SPLITTER",2021-12-16T10:00:00Z,25,1190017,14332,438
SPOiler 스포일러,⚽조금다른축구⚽ 손흥민이 슈팅하나로 레전드 찍어버린 경기,"안녕하세요!!!  
조금 다른 시선으로
축구를 보여드리는 KLDH입니다😎 

KLDH가 생각하는 손흥민 선수의 레전드 골!
여러분들의 생각은 어떠신가요?

⚽KLDH 채널 바로가기 ▶ https://bit.ly/3dYDPGT",2021-12-18T02:00:13Z,17,1406052,9679,702
방과후 설렘,1학기 중간고사 학년대항전 3학년 VS 4학년 l 211219 방송,"1학기 중간고사 학년대항전 3학년 VS 4학년
블랙핑크 - Pretty Savage
aespa - Black Mamba


당신을 설레게 한 학생에게 투표하세요
https://now.naver.com/s/myteenagegirl/


방과후 설렘 💕
컨텐츠 홈 : https://now.naver.com/s/myteenagegirl/
홈페이지 : http://program.imbc.com/myteenagegirl

YOUTUBE : https://me2.kr/skd4l
Facebook : http://www.facebook.com/teenagegirls11
Instagram : http://www.instagram.com/teenage_girls_11/
Twitter : http://www.twitter.com/Teenage_girls11
NAVER POST : https://post.naver.com/phunky_official


#방과후설렘 #Teenagegirls #MBC #NAVER_NOW",2021-12-19T13:42:04Z,24,306018,7408,1576
CLAB,일본여자들이 한국 횟집에 가면 큰일난다는 이유 (다신 일본횟집 못 감),"안녕하세요!

오늘은 일본에서 온 사키, 사리와 함께 한국 횟집을 방문했는데요!!!! 

어떤 에피소드들이 있었을지..

함께 보러가시죠 :D



----- 


00:00 하이라이트
00:07 인트로 
00:22 주문 
00:56 횟집 분위기? 
01:41 밑반찬 등장 
04:34 메인메뉴 
05:47 뭔가 부족하지 않아요? 
07:11 쌈 싸먹기 
07:45 매운탕 먹방
08:43 클로징
09:13 스페셜 영상 



----- 


사키 Instagram
https://www.instagram.com/sakiponne_/


사리 Instagram
https://www.instagram.com/mahoutukaisally/


사리 유튜브: 
https://www.youtube.com/channel/UCeN8_3kune14ExJw-2Z6IHQ




영상이 즐거우셨다면 좋아요와 구독하기 버튼을 꾸~욱 눌러주세요 :)

출연 및 제휴 문의 : clabreact@gmail.com 




#일본반응 #일본여자 #한국횟집 #광어 #방어 #먹방 #일본인 #외국인반응 #해외반응",2021-12-17T09:00:10Z,24,869147,15855,985
